Restaurant Name,Cuisine,Rating,Number of Ratings,Average Price,Number of Offers,Offer Name,Area,Pure Veg,Location
Zenza Pizza,"Pizzas, Italian",4.2,,100,5,"40% OFF UPTO ₹80
USE TRYNEWABOVE ₹149, FLAT DEAL
FLAT ₹100 OFF
USE FLATDEALABOVE ₹399, FLAT ₹100 OFF
NO CODE REQUIREDABOVE ₹550, 15% OFF UPTO ₹300
USE CITIFOODIEABOVE ₹1200, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Rohtak,Yes,Rohtak
Prakash Non Veg Corner,"Continental, Pizzas",3.6,,250,4,"FLAT ₹100 OFF
NO CODE REQUIREDABOVE ₹550, 15% OFF UPTO ₹300
USE CITIFOODIEABOVE ₹1200, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500, FLAT ₹150 OFF
USE AMEX150ABOVE ₹600",Rohtak Locality,No,Rohtak
Friends Snacks Bar,"Pizzas, Fast Food",3.6,,100,4,"FLAT ₹100 OFF
NO CODE REQUIREDABOVE ₹550, 15% OFF UPTO ₹300
USE CITIFOODIEABOVE ₹1200, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500, FLAT ₹150 OFF
USE AMEX150ABOVE ₹600",Rohtak,Yes,Rohtak
Khalsa Amritsari Kulcha & Pizza,"Pizzas, Beverages",4.1,,200,4,"FLAT ₹100 OFF
NO CODE REQUIREDABOVE ₹550, 15% OFF UPTO ₹300
USE CITIFOODIEABOVE ₹1200, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500, FLAT ₹150 OFF
USE AMEX150ABOVE ₹600",Rohtak,Yes,Rohtak
Jail House Cafe,"Cafe, Pizzas",4.1,,200,4,"FLAT ₹100 OFF
NO CODE REQUIREDABOVE ₹550, 15% OFF UPTO ₹300
USE CITIFOODIEABOVE ₹1200, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500, FLAT ₹150 OFF
USE AMEX150ABOVE ₹600",Rohtak City,Yes,Rohtak
Roll Box Pizza,"Pizzas, Fast Food",4.2,,250,4,"FLAT ₹100 OFF
NO CODE REQUIREDABOVE ₹550, 15% OFF UPTO ₹300
USE CITIFOODIEABOVE ₹1200, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500, FLAT ₹150 OFF
USE AMEX150ABOVE ₹600",Jaat Bhawan,Yes,Rohtak
Chicago Pizza,"Fast Food, Pizzas",4.1,,350,4,"FLAT ₹100 OFF
NO CODE REQUIREDABOVE ₹550, 15% OFF UPTO ₹300
USE CITIFOODIEABOVE ₹1200, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500, FLAT ₹150 OFF
USE AMEX150ABOVE ₹600",IIT Roorkee,No,Roorkee
Hangries,"Pizzas, Fast Food",4.1,,250,4,"FLAT ₹100 OFF
NO CODE REQUIREDABOVE ₹550, 15% OFF UPTO ₹300
USE CITIFOODIEABOVE ₹1200, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500, FLAT ₹150 OFF
USE AMEX150ABOVE ₹600",IIT_Roorkee,Yes,Roorkee
Roms Pizza,Pizzas,4.1,,400,5,"FLAT DEAL
FLAT ₹125 OFF
USE SWIGGYWEEKENDSABOVE ₹249, FLAT DEAL
FLAT ₹150 OFF
USE SAVERDEALABOVE ₹349, FLAT DEAL
FLAT 30% OFF
USE PARTYABOVE ₹1900, DEFAULT
FLAT ₹175 OFF
USE MEGASAVERABOVE ₹549, FLAT ₹100 OFF
NO CODE REQUIREDABOVE ₹550",Malviya Chowk,Yes,Roorkee
Pizza Junction,"Pizzas, Burgers",4.0,,149,5,"40% OFF UPTO ₹80
USE TRYNEWABOVE ₹149, FLAT ₹100 OFF
NO CODE REQUIREDABOVE ₹550, 15% OFF UPTO ₹300
USE CITIFOODIEABOVE ₹1200, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500, FLAT ₹150 OFF
USE AMEX150ABOVE ₹600",IIT_Roorkee,Yes,Roorkee
Domino'S Pizza,"Pizzas, Italian",4.3,,400,5,"FLAT DEAL
FLAT ₹150 OFF
USE WELCOMEDOM150ABOVE ₹299, FLAT DEAL
FLAT ₹150 OFF
USE FLAT150ABOVE ₹999, FLAT ₹100 OFF
NO CODE REQUIREDABOVE ₹550, 15% OFF UPTO ₹300
USE CITIFOODIEABOVE ₹1200, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Roorkee,Yes,Roorkee
Pizza Hut,Pizzas,4.2,,350,5,"60% OFF UPTO ₹120
USE SWIGGYITON SELECT ITEMS, FLAT ₹100 OFF
NO CODE REQUIREDABOVE ₹550, 15% OFF UPTO ₹300
USE CITIFOODIEABOVE ₹1200, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500, FLAT ₹150 OFF
USE AMEX150ABOVE ₹600",Roorkee,No,Roorkee
Milk Bar,"Pizzas, Chinese",4.1,,350,5,"DEFAULT
FLAT ₹175 OFF
USE MEGASAVERABOVE ₹599, FLAT ₹100 OFF
NO CODE REQUIREDABOVE ₹550, 15% OFF UPTO ₹300
USE CITIFOODIEABOVE ₹1200, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500, FLAT ₹150 OFF
USE AMEX150ABOVE ₹600",IIT_Roorkee,Yes,Roorkee
Nozy Pizza,"Pizzas, Fast Food",4.5,,350,5,"FLAT DEAL
FLAT ₹125 OFF
USE SWIGGYWEEKENDSABOVE ₹249, FLAT DEAL
FLAT ₹125 OFF
USE FLATDEALABOVE ₹349, FLAT ₹100 OFF
NO CODE REQUIREDABOVE ₹550, 15% OFF UPTO ₹300
USE CITIFOODIEABOVE ₹1200, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",IIT_Roorkee,Yes,Roorkee
Pizza Heart,"Pizzas, Italian",4.9,,350,4,"FLAT ₹100 OFF
NO CODE REQUIREDABOVE ₹550, 15% OFF UPTO ₹300
USE CITIFOODIEABOVE ₹1200, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500, FLAT ₹150 OFF
USE AMEX150ABOVE ₹600",IIT_Roorkee,Yes,Roorkee
Uncle John'S Pizza,"Pizzas, Fast Food",3.1,,400,5,"FLAT DEAL
FLAT ₹125 OFF
USE SWIGGYWEEKENDSABOVE ₹249, FLAT ₹100 OFF
NO CODE REQUIREDABOVE ₹550, 15% OFF UPTO ₹300
USE CITIFOODIEABOVE ₹1200, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500, FLAT ₹150 OFF
USE AMEX150ABOVE ₹600",IIT_Roorkee,Yes,Roorkee
Mr. Krisper,"Pizzas, Salads",4.3,,250,5,"FLAT DEAL
FLAT 10% OFF
USE PARTYABOVE ₹750, FLAT ₹100 OFF
NO CODE REQUIREDABOVE ₹550, 15% OFF UPTO ₹300
USE CITIFOODIEABOVE ₹1200, SAVE BIG
10% OFF UPTO ₹80
USE JUMBOABOVE ₹600, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",IIT_Roorkee,Yes,Roorkee
Delicious Pahadi Pizza,"Pizzas, Snacks",4.1,,400,5,"FLAT DEAL
FLAT 40% OFF
USE PARTYABOVE ₹1500, FLAT DEAL
FLAT ₹125 OFF
USE FLATDEALABOVE ₹499, SAVE BIG
25% OFF UPTO ₹120
USE JUMBOABOVE ₹400, FLAT ₹100 OFF
NO CODE REQUIREDABOVE ₹550, 15% OFF UPTO ₹300
USE CITIFOODIEABOVE ₹1200",IIT_Roorkee,Yes,Roorkee
PIZZA BAR FAST FOOD,"Pizzas, Fast Food",4.2,,300,5,"FLAT DEAL
FLAT ₹125 OFF
USE SWIGGYWEEKENDSABOVE ₹249, FLAT ₹100 OFF
NO CODE REQUIREDABOVE ₹550, 15% OFF UPTO ₹300
USE CITIFOODIEABOVE ₹1200, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500, FLAT ₹150 OFF
USE AMEX150ABOVE ₹600",IIT_Roorkee,Yes,Roorkee
Meet & Munch Food Cafe,"Continental, Pizzas",4.3,,200,4,"FLAT ₹100 OFF
NO CODE REQUIREDABOVE ₹550, 15% OFF UPTO ₹300
USE CITIFOODIEABOVE ₹1200, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500, FLAT ₹150 OFF
USE AMEX150ABOVE ₹600",Roorkee,No,Roorkee
The Chakhna Palace,"Indian, Pizzas",4.3,,250,4,"FLAT ₹100 OFF
NO CODE REQUIREDABOVE ₹550, 15% OFF UPTO ₹300
USE CITIFOODIEABOVE ₹1200, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500, FLAT ₹150 OFF
USE AMEX150ABOVE ₹600",Roorkee,Yes,Roorkee
Punjabi Crown,"Burgers, Pizzas",3.2,,200,5,"40% OFF UPTO ₹80
USE TRYNEWABOVE ₹149, FLAT ₹100 OFF
NO CODE REQUIREDABOVE ₹550, 15% OFF UPTO ₹300
USE CITIFOODIEABOVE ₹1200, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500, FLAT ₹150 OFF
USE AMEX150ABOVE ₹600",Roorkee,Yes,Roorkee
The Indian Pizza,"Pastas, Pizzas",4.0,,250,4,"FLAT ₹100 OFF
NO CODE REQUIREDABOVE ₹550, 15% OFF UPTO ₹300
USE CITIFOODIEABOVE ₹1200, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500, FLAT ₹150 OFF
USE AMEX150ABOVE ₹600",Nehru Nagar,No,Roorkee
New Taste Buzz Cafe & Restaurant,"North Indian, Pizzas",4.2,,300,5,"50% OFF UPTO ₹100
USE TRYNEWABOVE ₹149, FLAT ₹100 OFF
NO CODE REQUIREDABOVE ₹550, 15% OFF UPTO ₹300
USE CITIFOODIEABOVE ₹1200, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500, FLAT ₹150 OFF
USE AMEX150ABOVE ₹600",IIT_Roorkee,Yes,Roorkee
Chef Creations (Taco Wale),"Burgers, Pizzas",4.3,,250,4,"FLAT ₹100 OFF
NO CODE REQUIREDABOVE ₹550, 15% OFF UPTO ₹300
USE CITIFOODIEABOVE ₹1200, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500, FLAT ₹150 OFF
USE AMEX150ABOVE ₹600",Dav school road,Yes,Ropar
New York Cafeteria,"Pizzas, Burgers",4.2,,250,5,"DEFAULT
FLAT ₹175 OFF
USE MEGASAVERABOVE ₹349, FLAT ₹100 OFF
NO CODE REQUIREDABOVE ₹550, 15% OFF UPTO ₹300
USE CITIFOODIEABOVE ₹1200, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500, FLAT ₹150 OFF
USE AMEX150ABOVE ₹600",Giani Zail Singh Nagar,Yes,Ropar
Yours Foody Hub,"Pizzas, Italian",4.7,,100,5,"FLAT 50% OFF
NO CODE REQUIRED, FLAT ₹100 OFF
NO CODE REQUIREDABOVE ₹550, 15% OFF UPTO ₹300
USE CITIFOODIEABOVE ₹1200, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500, FLAT ₹150 OFF
USE AMEX150ABOVE ₹600",Ropar Locality,Yes,Ropar
South Box,"South Indian, Pizzas",4.3,,200,4,"FLAT ₹100 OFF
NO CODE REQUIREDABOVE ₹550, 15% OFF UPTO ₹300
USE CITIFOODIEABOVE ₹1200, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500, FLAT ₹150 OFF
USE AMEX150ABOVE ₹600",Giani Zail Singh Nagar,Yes,Ropar
New Pizza Planet,"Chinese, Pizzas",4.5,,250,4,"FLAT ₹100 OFF
NO CODE REQUIREDABOVE ₹550, 15% OFF UPTO ₹300
USE CITIFOODIEABOVE ₹1200, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500, FLAT ₹150 OFF
USE AMEX150ABOVE ₹600",Giani Zail Singh Nagar,Yes,Ropar
La Pino'Z Pizza,"Pizzas, Pastas",4.2,,250,5,"40% OFF UPTO ₹80
USE TRYNEWON SELECT ITEMS, FLAT DEAL
FLAT ₹125 OFF
USE SWIGGYWEEKENDSABOVE ₹649, FLAT ₹100 OFF
NO CODE REQUIREDABOVE ₹550, 15% OFF UPTO ₹300
USE CITIFOODIEABOVE ₹1200, SAVE BIG
15% OFF UPTO ₹80
USE JUMBOABOVE ₹400",Bela Road,No,Ropar
Urban Chinese,"Chinese, Pizzas",3.8,,250,5,"DEFAULT
FLAT ₹125 OFF
USE SWIGGYWEEKENDSABOVE ₹199, 60% OFF UPTO ₹120
USE TRYNEWABOVE ₹149, DEFAULT
FLAT ₹200 OFF
USE BUMPERDEALABOVE ₹449, FLAT ₹100 OFF
NO CODE REQUIREDABOVE ₹550, 15% OFF UPTO ₹300
USE CITIFOODIEABOVE ₹1200",Giani Zail Singh Nagar,Yes,Ropar
Pizza Slice,"Pizzas, American",4.4,,200,5,"FLAT DEAL
FLAT ₹150 OFF
USE FLATDEALABOVE ₹249, FLAT ₹100 OFF
NO CODE REQUIREDABOVE ₹550, 15% OFF UPTO ₹300
USE CITIFOODIEABOVE ₹1200, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500, FLAT ₹150 OFF
USE AMEX150ABOVE ₹600",Dashmesh Nagar,Yes,Ropar
Snakkers,"Pizzas, Burgers",4.4,,199,5,"50% OFF UPTO ₹100
USE TRYNEWABOVE ₹149, FLAT DEAL
FLAT 20% OFF
USE PARTYABOVE ₹1900, SAVE BIG
25% OFF UPTO ₹125
USE JUMBOABOVE ₹500, FLAT ₹100 OFF
NO CODE REQUIREDABOVE ₹550, 15% OFF UPTO ₹300
USE CITIFOODIEABOVE ₹1200",Dashmesh Nagar,No,Ropar
The Coco Ah Kitchen,"Pizzas, Waffle",4.3,,250,5,"Free Item
NO CODE REQUIREDABOVE ₹399, FLAT ₹100 OFF
NO CODE REQUIREDABOVE ₹550, 15% OFF UPTO ₹300
USE CITIFOODIEABOVE ₹1200, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500, FLAT ₹150 OFF
USE AMEX150ABOVE ₹600",Dashmesh Nagar,No,Ropar
A One Pizza,"Pizzas, Burgers",3.7,,250,5,"FLAT DEAL
FLAT ₹125 OFF
USE SWIGGYWEEKENDSABOVE ₹199, DEFAULT
FLAT ₹175 OFF
USE MEGASAVERABOVE ₹349, FLAT ₹100 OFF
NO CODE REQUIREDABOVE ₹550, 15% OFF UPTO ₹300
USE CITIFOODIEABOVE ₹1200, FLAT DEAL
FLAT ₹150 OFF
USE SAVERDEALABOVE ₹299",Dashmesh Nagar,No,Ropar
Pizza Store,"Pizzas, Fast Food",4.6,,200,5,"20% OFF UPTO ₹50
USE TRYNEWABOVE ₹149, FLAT ₹100 OFF
NO CODE REQUIREDABOVE ₹550, 15% OFF UPTO ₹300
USE CITIFOODIEABOVE ₹1200, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500, FLAT ₹150 OFF
USE AMEX150ABOVE ₹600",Dashmesh Nagar,No,Ropar
Snack Station,"Pizzas, Burgers",4.2,,250,5,"20% OFF UPTO ₹50
USE TRYNEWABOVE ₹149, FLAT ₹100 OFF
NO CODE REQUIREDABOVE ₹550, 15% OFF UPTO ₹300
USE CITIFOODIEABOVE ₹1200, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500, FLAT ₹150 OFF
USE AMEX150ABOVE ₹600",Giani Zail Singh Nagar,No,Ropar
The Burger Bite,"Fast Food, Pizzas",4.2,,250,5,"10% OFF UPTO ₹40
USE TRYNEWABOVE ₹149, FLAT ₹100 OFF
NO CODE REQUIREDABOVE ₹550, 15% OFF UPTO ₹300
USE CITIFOODIEABOVE ₹1200, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500, FLAT ₹150 OFF
USE AMEX150ABOVE ₹600",Dashmesh Nagar,No,Ropar
Pizza Point,"Pizzas, Burgers",4.2,,250,5,"20% OFF UPTO ₹50
USE TRYNEWABOVE ₹149, FLAT ₹100 OFF
NO CODE REQUIREDABOVE ₹550, 15% OFF UPTO ₹300
USE CITIFOODIEABOVE ₹1200, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500, FLAT ₹150 OFF
USE AMEX150ABOVE ₹600",Dashmesh Nagar,Yes,Ropar
The Pizza Master,Pizzas,4.2,,250,4,"FLAT ₹100 OFF
NO CODE REQUIREDABOVE ₹550, 15% OFF UPTO ₹300
USE CITIFOODIEABOVE ₹1200, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500, FLAT ₹150 OFF
USE AMEX150ABOVE ₹600",Dashmesh Nagar,Yes,Ropar
The Burger Day,"Pizzas, Snacks",4.7,,200,4,"FLAT ₹100 OFF
NO CODE REQUIREDABOVE ₹550, 15% OFF UPTO ₹300
USE CITIFOODIEABOVE ₹1200, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500, FLAT ₹150 OFF
USE AMEX150ABOVE ₹600",Dashmesh Nagar,Yes,Ropar
Pizza Bites Cafe,"Pizzas, Pastas",3.3,,250,4,"FLAT ₹100 OFF
NO CODE REQUIREDABOVE ₹550, 15% OFF UPTO ₹300
USE CITIFOODIEABOVE ₹1200, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500, FLAT ₹150 OFF
USE AMEX150ABOVE ₹600",Dashmesh Nagar,Yes,Ropar
Pb12 Cafe,"Pizzas, Burgers",4.5,,150,5,"FLAT DEAL
FLAT 20% OFF
USE PARTYABOVE ₹1000, SAVE BIG
10% OFF UPTO ₹100
USE JUMBOABOVE ₹400, FLAT ₹100 OFF
NO CODE REQUIREDABOVE ₹550, 15% OFF UPTO ₹300
USE CITIFOODIEABOVE ₹1200, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Dashmesh Nagar,Yes,Ropar
Alvin Pizza,"Indian, Pizzas",3.2,,250,5,"20% OFF UPTO ₹50
USE TRYNEWABOVE ₹149, FLAT ₹100 OFF
NO CODE REQUIREDABOVE ₹550, 15% OFF UPTO ₹300
USE CITIFOODIEABOVE ₹1200, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500, FLAT ₹150 OFF
USE AMEX150ABOVE ₹600",Dashmesh Nagar,No,Ropar
The Pizza Lovers,Pizzas,4.4,,150,4,"FLAT ₹100 OFF
NO CODE REQUIREDABOVE ₹550, 15% OFF UPTO ₹300
USE CITIFOODIEABOVE ₹1200, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500, FLAT ₹150 OFF
USE AMEX150ABOVE ₹600",Ropar Locality,Yes,Ropar
Chicago Pizza,Pizzas,4.2,,250,4,"FLAT ₹100 OFF
NO CODE REQUIREDABOVE ₹550, 15% OFF UPTO ₹300
USE CITIFOODIEABOVE ₹1200, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500, FLAT ₹150 OFF
USE AMEX150ABOVE ₹600",CHENND,No,Rourkela
Super Max / Pizza Den,"Bakery, Pizzas",4.4,,150,4,"FLAT ₹100 OFF
NO CODE REQUIREDABOVE ₹550, 15% OFF UPTO ₹300
USE CITIFOODIEABOVE ₹1200, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500, FLAT ₹150 OFF
USE AMEX150ABOVE ₹600",Madhusudan Marg,No,Rourkela
Fat Tiger,"Pizzas, Burgers",4.0,,300,4,"FLAT ₹100 OFF
NO CODE REQUIREDABOVE ₹550, 15% OFF UPTO ₹300
USE CITIFOODIEABOVE ₹1200, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500, FLAT ₹150 OFF
USE AMEX150ABOVE ₹600",CHENND,No,Rourkela
Burger Hub,"Burgers, Pizzas",2.0,,248,4,"FLAT ₹100 OFF
NO CODE REQUIREDABOVE ₹550, 15% OFF UPTO ₹300
USE CITIFOODIEABOVE ₹1200, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500, FLAT ₹150 OFF
USE AMEX150ABOVE ₹600",Civil Township,Yes,Rourkela
La Pino'Z Pizza,"Pizzas, Pastas",4.2,,250,5,"50% OFF UPTO ₹100
USE TRYNEWON SELECT ITEMS, FLAT DEAL
FLAT ₹125 OFF
USE SWIGGYWEEKENDSABOVE ₹699, FLAT ₹100 OFF
NO CODE REQUIREDABOVE ₹550, 15% OFF UPTO ₹300
USE CITIFOODIEABOVE ₹1200, FLAT DEAL
FLAT ₹125 OFF
USE FLAT125ABOVE ₹699",Panposh Rd,No,Rourkela
Pizza Hut,Pizzas,4.3,,350,5,"60% OFF UPTO ₹120
USE SWIGGYITON SELECT ITEMS, FLAT ₹100 OFF
NO CODE REQUIREDABOVE ₹550, 15% OFF UPTO ₹300
USE CITIFOODIEABOVE ₹1200, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500, FLAT ₹150 OFF
USE AMEX150ABOVE ₹600",Raghunathpali,No,Rourkela
Max Variety Center Pizza Inn,"Bakery, Pizzas",3.5,,200,5,"DEFAULT
FLAT ₹150 OFF
USE MEGASAVERABOVE ₹349, FLAT ₹100 OFF
NO CODE REQUIREDABOVE ₹550, 15% OFF UPTO ₹300
USE CITIFOODIEABOVE ₹1200, FLAT DEAL
FLAT ₹150 OFF
USE SAVERDEALABOVE ₹299, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Madhusudan Marg,No,Rourkela
Bentoz Pizza,"Pizzas, Desserts",5.0,,350,5,"40% OFF UPTO ₹80
USE TRYNEWABOVE ₹149, FLAT ₹100 OFF
NO CODE REQUIREDABOVE ₹550, 15% OFF UPTO ₹300
USE CITIFOODIEABOVE ₹1200, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500, FLAT ₹150 OFF
USE AMEX150ABOVE ₹600",Civil Township,No,Rourkela
The Pizza Maniac,"Italian, Pizzas",4.7,,400,4,"FLAT ₹100 OFF
NO CODE REQUIREDABOVE ₹550, 15% OFF UPTO ₹300
USE CITIFOODIEABOVE ₹1200, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500, FLAT ₹150 OFF
USE AMEX150ABOVE ₹600",Koel Nagar,No,Rourkela
Sas Bahu Kitchen Burger And Saandwich,"Fast Food, Pizzas",3.9,,200,5,"Free Rose Mockta
NO CODE REQUIREDABOVE ₹248, FLAT ₹100 OFF
NO CODE REQUIREDABOVE ₹550, 15% OFF UPTO ₹300
USE CITIFOODIEABOVE ₹1200, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500, FLAT ₹150 OFF
USE AMEX150ABOVE ₹600",Railway Colony,Yes,Rourkela
Cafe Raaga Palace,"Beverages, Pizzas",3.9,,200,5,"15% OFF UPTO ₹45
USE TRYNEWABOVE ₹149, Free French frie
NO CODE REQUIREDABOVE ₹299, FLAT ₹100 OFF
NO CODE REQUIREDABOVE ₹550, 15% OFF UPTO ₹300
USE CITIFOODIEABOVE ₹1200, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Industrial Township,No,Rourkela
Sumit Pizza,"Pizzas, Fast Food",4.2,,300,5,"Free Sandwitch
NO CODE REQUIREDABOVE ₹298, FLAT ₹100 OFF
NO CODE REQUIREDABOVE ₹550, 15% OFF UPTO ₹300
USE CITIFOODIEABOVE ₹1200, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500, FLAT ₹150 OFF
USE AMEX150ABOVE ₹600",Civil Township,Yes,Rourkela
Pizza Queen,"Pizzas, Fast Food",3.5,,200,4,"FLAT ₹100 OFF
NO CODE REQUIREDABOVE ₹550, 15% OFF UPTO ₹300
USE CITIFOODIEABOVE ₹1200, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500, FLAT ₹150 OFF
USE AMEX150ABOVE ₹600",Railway Colony,Yes,Rourkela
Pizza Pot,"Pizzas, Beverages",3.8,,200,5,"40% OFF UPTO ₹80
USE TRYNEWABOVE ₹149, FLAT ₹100 OFF
NO CODE REQUIREDABOVE ₹550, 15% OFF UPTO ₹300
USE CITIFOODIEABOVE ₹1200, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500, FLAT ₹150 OFF
USE AMEX150ABOVE ₹600",Railway Colony,No,Rourkela
Chawla'S Max Variety,"Pizzas, Bakery",4.4,,200,4,"FLAT ₹100 OFF
NO CODE REQUIREDABOVE ₹550, 15% OFF UPTO ₹300
USE CITIFOODIEABOVE ₹1200, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500, FLAT ₹150 OFF
USE AMEX150ABOVE ₹600",Raurkela Industrialship,Yes,Rourkela
Grub On The Run,"Chinese, Pizzas",4.0,,280,5,"FLAT DEAL
FLAT ₹100 OFF
USE FLATDEALABOVE ₹499, FLAT ₹100 OFF
NO CODE REQUIREDABOVE ₹550, 15% OFF UPTO ₹300
USE CITIFOODIEABOVE ₹1200, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500, FLAT ₹150 OFF
USE AMEX150ABOVE ₹600",Civil Township,No,Rourkela
Suruchi Bakery,"Bakery, Pizzas",4.2,,200,4,"FLAT ₹100 OFF
NO CODE REQUIREDABOVE ₹550, 15% OFF UPTO ₹300
USE CITIFOODIEABOVE ₹1200, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500, FLAT ₹150 OFF
USE AMEX150ABOVE ₹600",Civil Township,Yes,Rourkela
Pizza Hut,Pizzas,4.0,,350,5,"60% OFF UPTO ₹120
USE SWIGGYITON SELECT ITEMS, FLAT ₹100 OFF
NO CODE REQUIREDABOVE ₹550, 15% OFF UPTO ₹300
USE CITIFOODIEABOVE ₹1200, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500, FLAT ₹150 OFF
USE AMEX150ABOVE ₹600",Shiv Nagar,No,Rudrapur
La Pino'Z Pizza,"Pizzas, Pastas",4.1,,250,5,"40% OFF UPTO ₹80
USE TRYNEWON SELECT ITEMS, FLAT DEAL
FLAT ₹125 OFF
USE SWIGGYWEEKENDSABOVE ₹599, FLAT ₹100 OFF
NO CODE REQUIREDABOVE ₹550, 15% OFF UPTO ₹300
USE CITIFOODIEABOVE ₹1200, SAVE BIG
15% OFF UPTO ₹80
USE JUMBOABOVE ₹400",Rudrapur,No,Rudrapur
Pizza Slice,Pizzas,3.6,,250,4,"FLAT ₹100 OFF
NO CODE REQUIREDABOVE ₹550, 15% OFF UPTO ₹300
USE CITIFOODIEABOVE ₹1200, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500, FLAT ₹150 OFF
USE AMEX150ABOVE ₹600",Rudrapur Locality,Yes,Rudrapur
ZAPIZZA,"Pizzas, Salads",4.7,,250,4,"FLAT ₹100 OFF
NO CODE REQUIREDABOVE ₹550, 15% OFF UPTO ₹300
USE CITIFOODIEABOVE ₹1200, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500, FLAT ₹150 OFF
USE AMEX150ABOVE ₹600",Shiv Nagar,No,Rudrapur
Burger Boss Cafe,"Pizzas, Waffle",5.0,,100,4,"FLAT ₹100 OFF
NO CODE REQUIREDABOVE ₹550, 15% OFF UPTO ₹300
USE CITIFOODIEABOVE ₹1200, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500, FLAT ₹150 OFF
USE AMEX150ABOVE ₹600",Shiv Nagar,Yes,Rudrapur
Sardar Ji Pizza,Pizzas,3.1,,160,4,"FLAT ₹100 OFF
NO CODE REQUIREDABOVE ₹550, 15% OFF UPTO ₹300
USE CITIFOODIEABOVE ₹1200, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500, FLAT ₹150 OFF
USE AMEX150ABOVE ₹600",Shiv Nagar,Yes,Rudrapur
Da Pizza Bites,"Pizzas, Snacks",5.0,,200,4,"FLAT ₹100 OFF
NO CODE REQUIREDABOVE ₹550, 15% OFF UPTO ₹300
USE CITIFOODIEABOVE ₹1200, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500, FLAT ₹150 OFF
USE AMEX150ABOVE ₹600",Kichha,No,Rudrapur
Canadian Pizza,"Pizzas, Fast Food",3.7,,246,4,"FLAT ₹100 OFF
NO CODE REQUIREDABOVE ₹550, 15% OFF UPTO ₹300
USE CITIFOODIEABOVE ₹1200, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500, FLAT ₹150 OFF
USE AMEX150ABOVE ₹600",Shiv Nagar,Yes,Rudrapur
